Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Store_Suit,Chrome 66.0.3359.139,,2018-05-21 13:16:24,2018-05-21 14:06:58,50m - 34.589s,ERROR
,,,,,,
Test Cases/STORE TO CMS REQUEST TEST CASES/TC_STCMS_001 To Verify Schedule 1 Store To CMS Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-21 13:16:24,2018-05-21 13:23:44,7m - 20.044s,ERROR
openBrowser,Chrome 66.0.3359.139,,2018-05-21 13:16:24,2018-05-21 13:16:28,3.748s,PASSED
"Statement - out.println(""Verify Schedule 1 Store Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-21 13:16:28,2018-05-21 13:16:28,0.011s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-21 13:16:28,2018-05-21 13:16:31,2.469s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-21 13:16:31,2018-05-21 13:16:32,1.156s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:16:32,2018-05-21 13:16:33,0.816s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-21 13:16:33,2018-05-21 13:16:33,0.144s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-21 13:16:33,2018-05-21 13:16:33,0.132s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:16:33,2018-05-21 13:16:36,3.020s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:16:36,2018-05-21 13:16:37,1.457s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:16:37,2018-05-21 13:16:40,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:16:40,2018-05-21 13:16:41,0.149s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:16:41,2018-05-21 13:16:43,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:16:43,2018-05-21 13:16:43,0.786s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-21 13:16:43,2018-05-21 13:16:44,0.387s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-21 13:16:44,2018-05-21 13:16:44,0.169s,PASSED
