Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Investigation_Suit,Chrome 66.0.3359.139,It Contains All Schedule Investigation Request,2018-05-14 17:15:37,2018-05-14 17:30:46,15m - 8.959s,FAILED
,,,,,,
Test Cases/INVESTIGATION TEST CASES/TC_INV_001 Verify Schedule 4 Investigation Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-14 17:15:38,2018-05-14 17:18:05,2m - 27.702s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-14 17:15:38,2018-05-14 17:15:41,2.988s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-14 17:15:41,2018-05-14 17:15:51,9.836s,PASSED
"Statement - out.println("" Verify Schedule 4 Investigation Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-14 17:15:51,2018-05-14 17:15:51,0.019s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-14 17:15:51,2018-05-14 17:15:52,1.139s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:15:52,2018-05-14 17:15:55,2.911s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 17:15:55,2018-05-14 17:15:55,0.130s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 17:15:55,2018-05-14 17:15:55,0.119s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 17:15:55,2018-05-14 17:15:58,3.016s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:15:58,2018-05-14 17:16:01,2.556s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:16:01,2018-05-14 17:16:02,1.167s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 17:16:02,2018-05-14 17:16:04,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:16:04,2018-05-14 17:16:08,4.266s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-14 17:16:08,2018-05-14 17:16:08,0.185s,PASSED
Statement - medicineslength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC/select_--Select--Automatic x-r)),Chrome 66.0.3359.139,,2018-05-14 17:16:08,2018-05-14 17:16:08,0.084s,PASSED
"Statement - For ([e = 1, e <= medicineslength - 1, (e++)])",Chrome 66.0.3359.139,,2018-05-14 17:16:08,2018-05-14 17:16:16,7.410s,PASSED
"Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC/input_txtno), ""value"")",Chrome 66.0.3359.139,,2018-05-14 17:16:16,2018-05-14 17:16:16,0.044s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.139,,2018-05-14 17:16:16,2018-05-14 17:16:16,0.001s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.139,,2018-05-14 17:16:16,2018-05-14 17:16:16,0.004s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-14 17:16:16,2018-05-14 17:16:16,0.045s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:16:16,2018-05-14 17:16:16,0.078s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 17:16:16,2018-05-14 17:16:19,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:16:19,2018-05-14 17:16:20,0.736s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 17:16:20,2018-05-14 17:16:23,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:16:23,2018-05-14 17:16:23,0.102s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:16:23,2018-05-14 17:16:25,1.813s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 17:16:25,2018-05-14 17:16:28,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 17:16:28,2018-05-14 17:16:28,0.775s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 17:16:28,2018-05-14 17:16:29,0.113s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 17:16:29,2018-05-14 17:16:29,0.111s,PASSED
