Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Moh_Request,Chrome 66.0.3359.139,,2018-05-04 18:05:21,2018-05-04 18:14:13,8m - 51.424s,FAILED
,,,,,,
Test Cases/MOHTOCMSREQUEST/MohRequestSchedule2,Chrome 66.0.3359.139,,2018-05-04 18:05:22,2018-05-04 18:07:09,1m - 47.193s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 18:05:22,2018-05-04 18:05:25,3.432s,PASSED
Statement - i = 1,Chrome 66.0.3359.139,,2018-05-04 18:05:25,2018-05-04 18:05:25,0.001s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 18:05:25,2018-05-04 18:05:31,5.204s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-04 18:05:31,2018-05-04 18:05:32,1.155s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:05:32,2018-05-04 18:05:33,0.833s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-04 18:05:33,2018-05-04 18:05:33,0.135s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-04 18:05:33,2018-05-04 18:05:33,0.130s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:05:33,2018-05-04 18:05:37,4.018s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:05:37,2018-05-04 18:05:39,1.900s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:05:39,2018-05-04 18:05:41,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:05:41,2018-05-04 18:05:41,0.647s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:05:41,2018-05-04 18:05:43,2.082s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 18:05:43,2018-05-04 18:05:44,0.236s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:05:44,2018-05-04 18:05:46,2.001s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 18:05:46,2018-05-04 18:05:46,0.364s,PASSED
Statement - selectedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Schedule2/Page_KDMC - CMS/select_--Select--Albendazole)),Chrome 66.0.3359.139,,2018-05-04 18:05:46,2018-05-04 18:05:46,0.097s,PASSED
"Statement - For ([i, i <= selectedoptions - 1, (i++)])",Chrome 66.0.3359.139,,2018-05-04 18:05:46,2018-05-04 18:07:03,1m - 16.392s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:07:03,2018-05-04 18:07:06,3.002s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-04 18:07:06,2018-05-04 18:07:06,0.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:06,2018-05-04 18:07:06,0.093s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:06,2018-05-04 18:07:07,1.438s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:07,2018-05-04 18:07:08,1.106s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:08,2018-05-04 18:07:08,0.078s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:08,2018-05-04 18:07:08,0.088s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:08,2018-05-04 18:07:09,0.364s,FAILED
,,,,,,
Test Cases/MOHTOCMSREQUEST/MohRequestSchedule3,Chrome 66.0.3359.139,,2018-05-04 18:07:09,2018-05-04 18:07:34,25.420s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 18:07:09,2018-05-04 18:07:12,2.769s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 18:07:12,2018-05-04 18:07:14,2.225s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-04 18:07:14,2018-05-04 18:07:15,1.122s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:15,2018-05-04 18:07:16,0.694s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-04 18:07:16,2018-05-04 18:07:16,0.124s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-04 18:07:16,2018-05-04 18:07:16,0.133s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:07:16,2018-05-04 18:07:20,4.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:20,2018-05-04 18:07:21,0.906s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:21,2018-05-04 18:07:22,0.659s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-04 18:07:22,2018-05-04 18:07:22,0.156s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-04 18:07:22,2018-05-04 18:07:22,0.192s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:07:22,2018-05-04 18:07:25,3.000s,PASSED
Statement - selectedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Schedule3/Page_KDMC - CMS/select_--Select--Amoxycillin 2)),Chrome 66.0.3359.139,,2018-05-04 18:07:25,2018-05-04 18:07:25,0.067s,PASSED
"Statement - For ([i = 1, i <= selectedoptions - 1, (i++)])",Chrome 66.0.3359.139,,2018-05-04 18:07:25,2018-05-04 18:07:34,9.227s,FAILED
,,,,,,
Test Cases/MOHTOCMSREQUEST/MohRequestSchedule4,Chrome 66.0.3359.139,,2018-05-04 18:07:34,2018-05-04 18:08:20,46.139s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 18:07:34,2018-05-04 18:07:37,2.839s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 18:07:37,2018-05-04 18:07:39,1.598s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-04 18:07:39,2018-05-04 18:07:40,1.124s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:40,2018-05-04 18:07:40,0.602s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-04 18:07:40,2018-05-04 18:07:41,0.117s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-04 18:07:41,2018-05-04 18:07:41,0.104s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:07:41,2018-05-04 18:07:45,4.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:45,2018-05-04 18:07:46,0.833s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:07:46,2018-05-04 18:07:47,1.555s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 18:07:47,2018-05-04 18:07:47,0.185s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 18:07:47,2018-05-04 18:07:48,0.362s,PASSED
Statement - Selectedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Schedule4/Page_KDMC - CMS/select_--Select--Automatic x-r)),Chrome 66.0.3359.139,,2018-05-04 18:07:48,2018-05-04 18:07:48,0.065s,PASSED
"Statement - For ([j = 1, j <= Selectedoptions - 1, (j++)])",Chrome 66.0.3359.139,,2018-05-04 18:07:48,2018-05-04 18:08:10,21.999s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-04 18:08:10,2018-05-04 18:08:10,0.034s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:08:10,2018-05-04 18:08:10,0.087s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:08:10,2018-05-04 18:08:13,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:08:13,2018-05-04 18:08:13,0.414s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:08:13,2018-05-04 18:08:16,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:08:16,2018-05-04 18:08:16,0.076s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 18:08:16,2018-05-04 18:08:19,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:08:19,2018-05-04 18:08:20,0.375s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-04 18:08:20,2018-05-04 18:08:20,0.620s,PASSED
,,,,,,
Test Cases/MOHTOCMSREQUEST/MohRequestSchedule5,Chrome 66.0.3359.139,,2018-05-04 18:08:20,2018-05-04 18:08:52,32.016s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 18:08:20,2018-05-04 18:08:22,1.915s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 18:08:22,2018-05-04 18:08:24,2.017s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-04 18:08:24,2018-05-04 18:08:26,1.131s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 18:08:26,2018-05-04 18:08:26,0.590s,PASSED
