Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MOH REQUEST AND GRN,Chrome 66.0.3359.139,,2018-05-14 13:21:38,2018-05-14 14:06:27,44m - 49.175s,FAILED
,,,,,,
Test Cases/TEST/MOH REQUEST AND GRN/Moh Request GRN Schedule 1,Chrome 66.0.3359.139,,2018-05-14 13:21:38,2018-05-14 13:35:13,13m - 34.911s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-14 13:21:38,2018-05-14 13:21:41,3.027s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-14 13:21:41,2018-05-14 13:21:45,3.040s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-14 13:21:45,2018-05-14 13:21:46,1.182s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:21:46,2018-05-14 13:21:47,0.882s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:21:47,2018-05-14 13:21:47,0.171s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:21:47,2018-05-14 13:21:47,0.115s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:21:47,2018-05-14 13:21:50,3.017s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:21:50,2018-05-14 13:21:51,1.133s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:21:51,2018-05-14 13:21:52,0.691s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-14 13:21:52,2018-05-14 13:21:52,0.206s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-14 13:21:52,2018-05-14 13:21:52,0.165s,PASSED
Statement - selectedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC - CMS/select_--Select--Adernaline 0.)),Chrome 66.0.3359.139,,2018-05-14 13:21:52,2018-05-14 13:21:52,0.096s,PASSED
"Statement - For ([j = 1, j <= selectedoptions - 1, (j++)])",Chrome 66.0.3359.139,,2018-05-14 13:21:52,2018-05-14 13:22:41,48.767s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-14 13:22:41,2018-05-14 13:22:41,0.052s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:22:41,2018-05-14 13:22:41,0.111s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:22:41,2018-05-14 13:22:44,3.002s,PASSED
Statement - Request1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC - CMS/font_PRNO0505201876)),Chrome 66.0.3359.139,,2018-05-14 13:22:44,2018-05-14 13:22:44,0.098s,PASSED
"Statement - out.println(""Length OF The Medicine "" + Request1)",Chrome 66.0.3359.139,,2018-05-14 13:22:44,2018-05-14 13:22:44,0.008s,PASSED
"Statement - RequestNUmber = Request1.split(""/"")[2].trim()",Chrome 66.0.3359.139,,2018-05-14 13:22:44,2018-05-14 13:22:44,0.006s,PASSED
"Statement - out.println(""ID IS "" + RequestNUmber)",Chrome 66.0.3359.139,,2018-05-14 13:22:44,2018-05-14 13:22:44,0.001s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:22:44,2018-05-14 13:22:47,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:22:47,2018-05-14 13:22:48,0.490s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:22:48,2018-05-14 13:22:49,1.634s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:22:49,2018-05-14 13:22:50,0.437s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:22:50,2018-05-14 13:22:54,4.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:22:54,2018-05-14 13:22:54,0.424s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:22:54,2018-05-14 13:22:54,0.111s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:22:54,2018-05-14 13:22:54,0.105s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:22:54,2018-05-14 13:22:57,3.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:22:57,2018-05-14 13:22:59,1.616s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:22:59,2018-05-14 13:23:19,20.002s,PASSED
scrollToPosition,Chrome 66.0.3359.139,,2018-05-14 13:23:19,2018-05-14 13:23:19,0.020s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:19,2018-05-14 13:23:19,0.090s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:19,2018-05-14 13:23:21,1.438s,PASSED
"Statement - RequestNumberId = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC - CMS/input_PO0032), ""xpath"", ""equals"", ""//*[@id ="" + RequestNUmber + ""]"", true)",Chrome 66.0.3359.139,,2018-05-14 13:23:21,2018-05-14 13:23:21,0.013s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:21,2018-05-14 13:23:21,0.096s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:21,2018-05-14 13:23:24,3.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-14 13:23:24,2018-05-14 13:23:24,0.161s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:24,2018-05-14 13:23:24,0.081s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:24,2018-05-14 13:23:27,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:27,2018-05-14 13:23:28,0.707s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:28,2018-05-14 13:23:31,3.001s,PASSED
scrollToPosition,Chrome 66.0.3359.139,,2018-05-14 13:23:31,2018-05-14 13:23:31,0.016s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:31,2018-05-14 13:23:31,0.128s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:31,2018-05-14 13:23:33,2.004s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:33,2018-05-14 13:23:33,0.646s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:33,2018-05-14 13:23:35,2.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-14 13:23:35,2018-05-14 13:23:36,0.209s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:36,0.292s,PASSED
Statement - PONumber = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC/input_lblpono)).trim(),Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:36,0.068s,PASSED
"Statement - PONumber1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC/input_lblpono), ""value"").trim()",Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:36,0.056s,PASSED
"Statement - out.println(""PO NUMBER :"" + PONumber)",Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:36,0.001s,PASSED
"Statement - out.println(""PO NUMBER :"" + PONumber1)",Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:36,0.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:36,0.145s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:36,0.066s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:36,0.099s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:36,2018-05-14 13:23:39,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:39,2018-05-14 13:23:40,0.126s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:40,2018-05-14 13:23:43,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:43,2018-05-14 13:23:43,0.750s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:43,2018-05-14 13:23:46,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:46,2018-05-14 13:23:46,0.092s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:46,2018-05-14 13:23:47,0.648s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:47,2018-05-14 13:23:51,4.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:51,2018-05-14 13:23:52,0.999s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:23:52,2018-05-14 13:23:52,0.113s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:23:52,2018-05-14 13:23:52,0.104s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:52,2018-05-14 13:23:55,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:55,2018-05-14 13:23:56,0.586s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:56,2018-05-14 13:23:56,0.097s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:56,2018-05-14 13:23:58,2.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 13:23:58,2018-05-14 13:23:59,1.414s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-14 13:23:59,2018-05-14 13:24:01,2.001s,PASSED
selectOptionByLabel,Chrome 66.0.3359.139,,2018-05-14 13:24:01,2018-05-14 13:24:01,0.127s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:24:01,2018-05-14 13:24:01,0.005s,PASSED
Statement - switch (id),Chrome 66.0.3359.139,,2018-05-14 13:24:01,2018-05-14 13:24:02,0.164s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-14 13:24:02,2018-05-14 13:24:02,0.163s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:24:02,2018-05-14 13:24:02,0.178s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:24:02,2018-05-14 13:24:02,0.136s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-14 13:24:02,2018-05-14 13:24:02,0.003s,PASSED
Statement - switch (id),Chrome 66.0.3359.139,,2018-05-14 13:24:02,2018-05-14 13:24:02,0.125s,PASSED
scrollToPosition,Chrome 66.0.3359.139,,2018-05-14 13:24:02,2018-05-14 13:24:02,0.011s,PASSED
