Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HealthPost_CMS_Suite,Chrome 66.0.3359.181,,2018-06-10 22:48:54,2018-06-10 22:59:27,10m - 33.221s,ERROR
,,,,,,
Test Cases/HEALTHPOST TEST CASES/TC_HP_013 Verify Schedule 1 Healthpost To CMS Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-06-10 22:48:54,2018-06-10 22:52:57,4m - 2.680s,ERROR
openBrowser,Chrome 66.0.3359.181,,2018-06-10 22:48:55,2018-06-10 22:48:58,2.993s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 22:48:58,2018-06-10 22:49:00,1.744s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-10 22:49:00,2018-06-10 22:49:01,1.139s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:49:01,2018-06-10 22:49:02,1.085s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 22:49:02,2018-06-10 22:49:02,0.145s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 22:49:02,2018-06-10 22:49:02,0.129s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:49:02,2018-06-10 22:49:05,3.016s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:49:05,2018-06-10 22:49:06,0.795s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:49:06,2018-06-10 22:49:09,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:49:09,2018-06-10 22:49:09,0.135s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:49:09,2018-06-10 22:49:10,0.569s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:49:10,2018-06-10 22:49:12,2.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 22:49:12,2018-06-10 22:49:12,0.207s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 22:49:12,2018-06-10 22:49:12,0.169s,PASSED
Statement - medicineslength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(HealthpostToCms/Page_HealthPost Store/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-06-10 22:49:12,2018-06-10 22:49:12,0.084s,PASSED
"Statement - For ([e = 1, e <= medicineslength - 1, (e++)])",Chrome 66.0.3359.181,,2018-06-10 22:49:12,2018-06-10 22:52:04,2m - 52.366s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-06-10 22:52:04,2018-06-10 22:52:04,0.048s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:04,2018-06-10 22:52:05,0.147s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:52:05,2018-06-10 22:52:08,3.001s,PASSED
Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(HealthpostToCms/Page_HealthPost Store/font_PRNO18052018174)),Chrome 66.0.3359.181,,2018-06-10 22:52:08,2018-06-10 22:52:08,0.061s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.181,,2018-06-10 22:52:08,2018-06-10 22:52:08,0.007s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.181,,2018-06-10 22:52:08,2018-06-10 22:52:08,0.004s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:08,2018-06-10 22:52:08,0.553s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:52:08,2018-06-10 22:52:11,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:11,2018-06-10 22:52:11,0.087s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:11,2018-06-10 22:52:12,0.656s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:52:12,2018-06-10 22:52:15,3.000s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 22:52:15,2018-06-10 22:52:15,0.391s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:15,2018-06-10 22:52:16,0.737s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 22:52:16,2018-06-10 22:52:16,0.123s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 22:52:16,2018-06-10 22:52:16,0.123s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:52:16,2018-06-10 22:52:19,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:19,2018-06-10 22:52:20,1.052s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:52:20,2018-06-10 22:52:23,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:23,2018-06-10 22:52:24,0.111s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:52:24,2018-06-10 22:52:26,2.002s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:26,2018-06-10 22:52:26,0.536s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 22:52:26,2018-06-10 22:52:26,0.146s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:26,2018-06-10 22:52:26,0.087s,PASSED
"Statement - ID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC - CMO/input_1), ""xpath"", ""equals"", ""//*[@id="" + RID + ""]"", true)",Chrome 66.0.3359.181,,2018-06-10 22:52:26,2018-06-10 22:52:26,0.013s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 22:52:26,2018-06-10 22:52:27,0.884s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 22:52:27,2018-06-10 22:52:29,2.001s,PASSED
