Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Store_Suit,Chrome 66.0.3359.181,,2018-05-24 19:52:25,2018-05-28 09:02:19,85h - 9m - 53.618s,ERROR
,,,,,,
Test Cases/STORE TO CMS REQUEST TEST CASES/TC_STCMS_001 To Verify Schedule 1 Store To CMS Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-05-24 19:52:25,2018-05-24 19:56:48,4m - 22.430s,ERROR
openBrowser,Chrome 66.0.3359.181,,2018-05-24 19:52:26,2018-05-24 19:52:29,2.862s,PASSED
"Statement - out.println(""Verify Schedule 1 Store Request Are Working Successfully Or Not"")",Chrome 66.0.3359.181,,2018-05-24 19:52:29,2018-05-24 19:52:29,0.011s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 19:52:29,2018-05-24 19:52:32,3.381s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 19:52:32,2018-05-24 19:52:33,1.146s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:52:33,2018-05-24 19:52:34,0.723s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 19:52:34,2018-05-24 19:52:34,0.175s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 19:52:34,2018-05-24 19:52:34,0.119s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:52:34,2018-05-24 19:52:37,3.016s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:52:37,2018-05-24 19:52:39,1.790s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:52:39,2018-05-24 19:52:42,3.003s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:52:42,2018-05-24 19:52:42,0.200s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:52:42,2018-05-24 19:52:44,2.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:52:44,2018-05-24 19:52:45,1.127s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-24 19:52:45,2018-05-24 19:52:46,0.189s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-24 19:52:46,2018-05-24 19:52:46,0.190s,PASSED
Statement - SelectedOptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Store Request Schedule 1/Page_Store/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-05-24 19:52:46,2018-05-24 19:52:46,0.103s,PASSED
"Statement - For ([y = 1, y < SelectedOptions, (y++)])",Chrome 66.0.3359.181,,2018-05-24 19:52:46,2018-05-24 19:54:40,1m - 54.288s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:54:40,2018-05-24 19:54:42,2.001s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-05-24 19:54:42,2018-05-24 19:54:42,0.085s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:54:42,2018-05-24 19:54:42,0.098s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:54:42,2018-05-24 19:54:46,4.001s,PASSED
Statement - Cms_RequestNumber = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Store Request Schedule 1/Page_Store/font_PRNO050520189)),Chrome 66.0.3359.181,,2018-05-24 19:54:46,2018-05-24 19:54:47,0.104s,PASSED
Statement - CR = Cms_RequestNumber.trim(),Chrome 66.0.3359.181,,2018-05-24 19:54:47,2018-05-24 19:54:47,0.000s,PASSED
"Statement - out.println(""RQ :"" + Cms_RequestNumber)",Chrome 66.0.3359.181,,2018-05-24 19:54:47,2018-05-24 19:54:47,0.000s,PASSED
"Statement - RequestNumberID = Cms_RequestNumber.split(""/"")[2].trim()",Chrome 66.0.3359.181,,2018-05-24 19:54:47,2018-05-24 19:54:47,0.003s,PASSED
"Statement - out.println(""RQ ID :"" + RequestNumberID)",Chrome 66.0.3359.181,,2018-05-24 19:54:47,2018-05-24 19:54:47,0.001s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:54:47,2018-05-24 19:54:50,3.001s,PASSED
Statement - ok = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.click(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Store Request Schedule 1/Page_Store/button_OK)),Chrome 66.0.3359.181,,2018-05-24 19:54:50,2018-05-24 19:54:51,1.165s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:54:51,2018-05-24 19:54:54,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:54:54,2018-05-24 19:54:54,0.151s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:54:54,2018-05-24 19:54:55,0.643s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:54:55,2018-05-24 19:54:58,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:54:58,2018-05-24 19:54:58,0.651s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 19:54:58,2018-05-24 19:54:58,0.136s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 19:54:58,2018-05-24 19:54:58,0.111s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:54:58,2018-05-24 19:55:01,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:55:01,2018-05-24 19:55:02,1.047s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 19:55:02,2018-05-24 19:55:04,2.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 19:55:04,2018-05-24 19:55:05,0.537s,PASSED
